PROVINCIA;LOCALIDAD;BACTERIAS;Especie anuro
Zamora;Padmi - UNL;Pseudomonas antarctica;Pristimantis conspicillatus
Loja;Abra del Zamora;Pseudomonas antarctica;Pristimantis colodactylus
Loja;Abra del Zamora;Pseudomonas antarctica;Pristimantis colodactylus
Azuay;Lazareto;Pseudomonas antarctica;Hyloxalus vertebralis
Loja;Parque colinar Pucará;Pseudomonas antarctica;Lithobates catesbeianus
Azuay;Chanlud;Pseudomonas antarctica;Pristimantis lutzae
Zamora;Cerca al límite provincial;Pseudomonas antarctica;Pristimantis andinognomus
Azuay;Guangarcucho;Acinetobacter iwoffii;Ctenophryne aequatorialis
Azuay;Quimsacocha;Acinetobacter iwoffii;Gastrotheca pseustes
Azuay;Lazareto;Acinetobacter iwoffii;Hyloxalus vertebralis
Azuay;Lazareto;Acinetobacter iwoffii;Hyloxalus vertebralis
Azuay;Chanlud;Acinetobacter iwoffii;Pristimantis erythros
Azuay;Chanlud;Acinetobacter iwoffii;Pristimantis erythros
Azuay;Chanlud;Acinetobacter iwoffii;Pristimantis lutzae
Morona Santiago;Wapú;Aeromonas bestiarum;Scinax cruentommus
Morona Santiago;Wapú;Aeromonas bestiarum;Dendropsophus bifurcus
Azuay;Quimsacocha;Bacillus infantis;Gastrotheca pseustes
Azuay;Lazareto;Bacillus infantis;Hyloxalus vertebralis
Zamora;Padmi - UNL;Bacillus pumilus;Pristimantis diadematus
Loja;Abra del Zamora;Bacillus pumilus;Pristimantis matildae
Cañar;Laguna de Guabizhun;Bacillus pumilus;Hyloxalus vertebralis
Zamora;Criadero - Piuntza;Comamonas testosteroni;Lithobates catesbeianus
Azuay;Quimsacocha;Corynebacterium striatum;Gastrotheca pseustes
Azuay;Guangarcucho;Cryseobacterium joostei;Ctenophryne aequatorialis
Zamora;Padmi - UNL;Kluyvera ascorbata;Adenomera hylaedactyla
Zamora;Criadero - Piuntza;Kluyvera ascorbata;Lithobates catesbeianus
Morona Santiago;Wapú;Kluyvera ascorbata;Pristimantis conspicillatus
