Bact;SPP;Anuro
Acin;iwoffii;Cte_aequatorialis_Azu
Acin;iwoffii;Gas_pseustes_Azu
Acin;iwoffii;Hyl_vertebralis_Azu
Acin;iwoffii;Hyl_vertebralis_Azu
Acin;iwoffii;Pri_lutzae_Azu
Aero;bestiarum;Den_bifurcus_Mor
Aero;bestiarum;Sci_cruentommus_Mor
Baci;infantis;Gas_pseustes_Azu
Baci;infantis;Hyl_vertebralis_Azu
Baci;pumilus;Hyl_vertebralis_Cañ
Baci;pumilus;Pri_diadematus_Zam
Baci;pumilus;Pri_matildae_Loj
Coma;testosteroni;Lit_catesbeianus_Zam
Cory;striatum;Gas_pseustes_Azu
Crys;joostei;Cte_aequatorialis_Azu
Kluy;ascorbata;Ade_hylaedactyla_Zam
Kluy;ascorbata;Chi_bassleri_Mor
Kluy;ascorbata;Lit_catesbeianus_Zam
Kluy;ascorbata;Pri_conspicillatus_Mor
Lact;curvatus;Lit_catesbeianus_Loj
Lact;curvatus;Lit_catesbeianus_Loj
Lact;jensenii;Pri_matildae_Loj
Pant;agglomerans;Ade_hylaedactyla_Zam
Pant;agglomerans;Den_bifurcus_Mor
Pant;agglomerans;Lit_catesbeianus_Loj
Pant;agglomerans;Pri_diadematus_Zam
Pant;agglomerans;Sci_cruentommus_Mor
Prot;mirabilis;Pri_diadematus_Zam
Prov;rettgeri;Pri_conspicillatus_Mor
Pseu;oxydans;Ade_hylaedactyla_Zam
Pseu;chlororaphis;Ade_hylaedactyla_Zam
Pseu;chlororaphis;Chi_bassleri_Mor
Pseu;fluorescens;Cte_aequatorialis_Azu
Pseu;jensenii;Cte_aequatorialis_Azu
Pseu;kilonensis;Cte_aequatorialis_Azu
Pseu;kilonensis;Cte_aequatorialis_Azu
Pseu;chlororaphis;Den_bifurcus_Mor
Pseu;chlororaphis;Gas_cuencana_Azu
Pseu;fluorescens;Gas_cuencana_Azu
Pseu;fluorescens;Gas_cuencana_Azu
Pseu;fluorescens;Gas_cuencana_Azu
Pseu;jensenii;Gas_cuencana_Azu
Pseu;orientalis;Gas_cuencana_Azu
Pseu;thivervalensis;Gas_cuencana_Azu
Pseu;thivervalensis;Gas_cuencana_Azu
Pseu;azotoformans;Gas_cuencana_Cañ
Pseu;brassicacearum;Gas_cuencana_Cañ
Pseu;extremorientalis;Gas_cuencana_Cañ
Pseu;rhodesiae;Gas_cuencana_Cañ
Pseu;azotoformans;Gas_pseustes_Azu
Pseu;chlororaphis;Gas_pseustes_Azu
Pseu;antarctica;Hyl_vertebralis_Azu
Pseu;japonica;Hyl_vertebralis_Azu
Pseu;jensenii;Hyl_vertebralis_Azu
Pseu;thivervalensis;Hyl_vertebralis_Azu
Pseu;oxydans;Hyl_vertebralis_Cañ
Pseu;antarctica;Lit_catesbeianus_Loj
Pseu;chlororaphis;Lit_catesbeianus_Loj
Pseu;chlororaphis;Lit_catesbeianus_Zam
Pseu;rhodesiae;Lit_catesbeianus_Zam
Pseu;antarctica;Pri_andinognomus_Zam
Pseu;antarctica;Pri_colodactylus_Loj
Pseu;antarctica;Pri_colodactylus_Loj
Pseu;taetrolens;Pri_colodactylus_Loj
Pseu;oxydans;Pri_conspicillatus_Mor
Pseu;chlororaphis;Pri_conspicillatus_Mor
Pseu;chlororaphis;Pri_conspicillatus_Mor
Pseu;antarctica;Pri_conspicillatus_Zam
Pseu;orientalis;Pri_conspicillatus_Zam
Pseu;chlororaphis;Pri_diadematus_Zam
Pseu;fluorescens;Pri_diadematus_Zam
Pseu;taetrolens;Pri_diadematus_Zam
Pseu;antarctica;Pri_lutzae_Azu
Pseu;fluorescens;Pri_lutzae_Azu
Pseu;kilonensis;Pri_lutzae_Azu
Pseu;orientalis;Pri_lutzae_Azu
Pseu;oxydans;Pri_matildae_Loj
Pseu;oxydans;Pri_versicolor_Loj
Pseu;oxydans;Pri_versicolor_Loj
Pseu;chlororaphis;Sci_cruentommus_Mor
Rahn;aquatilis;Pri_andinognomus_Zam
Rahn;aquatilis;Pri_balionotus_Loj
Rahn;aquatilis;Pri_conspicillatus_Mor
Rahn;aquatilis;Pri_conspicillatus_Zam
Serr;marcescens;Gas_cuencana_Azu
Stap;xylosus;Hyl_vertebralis_Azu
Stap;xylosus;Sci_cruentommus_Mor
