Nro;LOCALIDAD;PROVINCIA;ESPECIE DE ANURO;Aspergillus flavus;Aspergillus niger;Bipolaris sp.;Hortaea werneckii;Fusarium concentricum;Fusarium oxysporum                               ;Fusarium proliferatum;Fusarium solani;Fusarium sp.;Syncephalastrum sp.
1;Guangarcucho;Azuay;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0
2;Guangarcucho;Azuay;Gastrotheca cuencana;0;0;0;0;0;0;1;1;0;0
3;Guangarcucho;Azuay;Ctenophryne aequatorialis;0;1;0;0;0;0;0;0;0;0
4;Guangarcucho;Azuay;Ctenophryne aequatorialis;0;0;0;0;0;0;0;0;0;1
5;Guangarcucho;Azuay;Ctenophryne aequatorialis;0;0;0;0;0;0;0;0;0;0
6;Lazareto;Azuay;Gastrotheca cuencana;0;0;1;0;0;0;0;0;0;0
7;Lazareto;Azuay;Hyloxalus vertebralis;0;0;0;0;0;0;0;0;0;0
8;Lazareto;Azuay;Hyloxalus vertebralis;0;0;0;1;0;0;0;0;0;0
13;Chanlud;Azuay;Pristimantis erythros;0;0;0;0;0;0;0;0;0;0
14;Chanlud;Azuay;Pristimantis erythros;0;0;0;0;0;0;0;0;0;0
15;Chanlud;Azuay;Pristimantis lutzae;0;0;0;1;0;0;0;0;0;0
16;Chanlud;Azuay;Pristimantis lutzae;0;0;0;0;0;0;0;0;0;0
17;Quimsacocha;Azuay;Gastrotheca pseustes;0;0;0;1;1;0;0;0;0;0
18;Wapú;Morona Santiago;Pristimantis conspicillatus;0;0;0;1;0;0;0;0;0;1
19;Wapú;Morona Santiago;Pristimantis conspicillatus;0;0;0;1;0;0;0;1;0;1
20;Wapú;Morona Santiago;Chiasmocleis bassleri;0;0;1;1;0;0;1;0;0;0
21;Wapú;Morona Santiago;Scinax cruentommus;0;0;1;0;0;0;0;0;0;0
22;Wapú;Morona Santiago;Pristimantis conspicillatus;0;1;0;1;0;0;0;0;0;0
23;Wapú;Morona Santiago;Dendropsophus bifurcus;0;0;0;0;0;0;1;1;0;0
24;Parque colinar Pucará;Loja;Lithobates catesbeianus;0;0;0;1;0;1;0;0;0;1
25;Parque colinar Pucará;Loja;Lithobates catesbeianus;0;0;0;0;0;0;0;1;0;0
26;Abra del Zamora;Loja;Pristimantis versicolor;0;1;0;0;0;0;0;0;1;1
27;Abra del Zamora;Loja;Pristimantis balionotus;0;0;0;0;0;0;0;0;0;0
28;Abra del Zamora;Loja;Pristimantis samaniegoi;0;0;0;0;0;0;0;0;0;0
29;Abra del Zamora;Loja;Pristimantis colodactylus;0;0;0;0;0;0;0;0;0;0
30;Abra del Zamora;Loja;Pristimantis matildae;0;0;0;0;0;0;0;0;0;0
31;Cerca al límite provincial;Zamora;Pristimantis andinognomus;0;0;0;0;1;0;0;0;0;0
32;Cerca al límite provincial;Zamora;Pristimantis vidua;0;0;0;0;0;0;0;0;0;0
33;Criadero - Piuntza;Zamora;Lithobates catesbeianus;0;0;0;0;0;0;0;1;0;0
34;Padmi - UNL;Zamora;Adenomera hylaedactyla;0;0;0;0;0;0;1;1;0;0
35;Padmi - UNL;Zamora;Pristimantis diadematus;0;0;0;0;0;1;0;1;0;1
36;Padmi - UNL;Zamora;Pristimantis conspicillatus;0;0;0;1;0;0;1;0;0;0
37;Laguna de Guabizhun;Cañar;Hyloxalus vertebralis;0;0;0;0;1;0;1;0;0;0
38;Laguna de Guabizhun;Cañar;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0
